0_0_2-,57,7,24,40
0_0_3-,85,7,24,42
0_0_4-,114,7,23,43
0_0_5-,142,7,23,41
1_0_4-,384,7,29,48
5_0_0-,646,7,22,57
0_0_0-,2,8,22,42
0_0_1-,30,8,22,40
0_0_6-,170,8,23,39
0_0_7-,198,8,22,40
1_0_3-,346,8,30,43
1_0_5-,420,8,30,47
1_0_0-,232,9,31,46
1_0_2-,307,9,31,43
1_0_6-,455,9,31,44
1_0_7-,491,9,31,40
4_0_0-,608,9,16,52
1_0_1-,269,10,31,44
2_0_0-,535,10,23,47
3_0_0-,573,10,16,51
5_0_1-,669,18,24,46
5_0_3-,722,31,23,33
5_0_4-,746,32,27,32
5_0_2-,694,37,27,27
0_1_2-,63,51,18,44
0_1_3-,90,51,19,45
0_1_5-,145,51,19,44
0_1_0-,5,52,19,46
0_1_1-,34,52,18,46
0_1_4-,116,52,20,46
0_1_6-,173,52,19,43
0_1_7-,202,52,18,45
1_1_3-,352,56,23,49
1_1_4-,386,56,27,49
1_1_2-,317,57,21,48
1_1_5-,423,57,26,48
1_1_6-,462,57,25,47
1_1_7-,500,58,24,45
1_1_0-,240,59,25,49
1_1_1-,278,59,24,49
2_1_0-,540,64,15,51
4_1_0-,606,67,24,47
3_1_0-,571,68,26,46
5_1_0-,642,68,22,57
5_1_1-,672,74,24,46
5_1_2-,702,88,27,27
5_1_4-,759,90,27,32
5_1_3-,732,94,23,33
0_2_1-,30,99,21,46
0_2_2-,62,99,17,46
0_2_0-,2,100,24,45
0_2_3-,88,100,20,45
0_2_6-,172,100,18,45
0_2_7-,201,100,17,45
0_2_5-,143,101,20,45
0_2_4-,113,103,25,42
1_2_7-,499,109,19,50
1_2_0-,233,110,32,49
1_2_1-,272,110,24,49
1_2_2-,313,110,19,48
1_2_6-,459,110,21,49
1_2_3-,349,111,23,49
1_2_5-,418,112,28,48
1_2_4-,381,113,30,47
2_2_0-,538,118,26,44
3_2_0-,571,122,32,36
4_2_0-,605,122,31,35
6_0_0-,657,130,28,44
6_1_0-,693,133,28,44
0_3_1-,28,148,24,43
0_3_2-,59,148,22,43
0_3_0-,1,149,24,42
0_3_6-,172,149,20,42
0_3_7-,199,149,21,42
0_3_3-,87,151,22,40
0_3_5-,143,151,23,40
0_3_4-,114,153,25,38
1_3_0-,230,161,32,45
1_3_7-,496,161,26,45
1_3_1-,268,162,32,44
1_3_2-,309,162,29,43
1_3_6-,458,162,28,43
1_3_3-,346,163,31,42
1_3_4-,383,163,31,42
1_3_5-,421,163,30,42
4_3_0-,608,164,24,39
3_3_0-,573,165,26,40
2_3_0-,537,167,30,39
6_2_0-,660,186,24,34
6_3_0-,701,186,24,34
0_4_2-,59,192,23,41
0_4_6-,171,193,23,41
0_4_1-,31,194,22,40
0_4_3-,87,194,23,38
0_4_5-,143,194,23,39
0_4_7-,199,194,23,40
0_4_0-,4,195,21,39
0_4_4-,114,196,23,38
1_4_2-,308,207,30,39
1_4_3-,343,207,30,42
1_4_6-,456,207,30,39
1_4_7-,493,207,31,41
1_4_0-,234,208,31,41
1_4_1-,271,208,31,39
1_4_4-,380,208,29,43
1_4_5-,418,208,29,41
4_4_0-,612,209,17,43
3_4_0-,576,210,18,44
2_4_0-,539,211,22,44
5_2_2-,710,225,34,47
5_2_1-,674,234,35,35
5_2_3-,745,237,38,35
0_5_1-,32,240,24,43
0_5_2-,61,240,22,43
5_2_0-,644,240,29,30
0_5_0-,2,241,24,42
0_5_6-,172,241,20,42
0_5_7-,203,241,21,42
0_5_3-,88,243,22,40
0_5_5-,142,243,23,40
0_5_4-,115,245,25,38
1_5_0-,232,254,32,45
1_5_1-,270,255,32,44
1_5_2-,310,255,29,43
1_5_6-,458,255,28,43
1_5_7-,494,255,26,45
1_5_3-,344,256,31,42
1_5_4-,381,256,31,42
1_5_5-,419,256,30,42
4_5_0-,608,260,24,39
3_5_0-,573,261,26,40
2_5_0-,531,263,30,39
5_3_1-,671,277,35,35
5_3_0-,639,279,29,30
5_3_2-,709,279,34,47
0_6_1-,36,286,21,46
0_6_2-,64,286,17,46
0_6_0-,4,287,24,45
0_6_3-,91,287,20,45
0_6_6-,177,287,18,45
0_6_7-,208,287,17,45
0_6_5-,149,288,20,45
0_6_4-,114,290,25,42
5_3_3-,747,293,38,35
1_6_0-,235,305,32,49
1_6_1-,275,305,24,49
1_6_2-,314,305,19,48
1_6_6-,460,305,21,49
1_6_3-,354,306,23,49
1_6_7-,494,306,19,50
1_6_5-,421,307,28,48
1_6_4-,384,308,30,47
2_6_0-,535,310,26,44
3_6_0-,569,314,32,36
4_6_0-,607,314,31,35
7_0_0-,657,328,26,28
7_0_1-,684,332,22,28
7_0_2-,707,332,20,23
8_0_0-,751,332,25,31
0_7_2-,67,336,18,44
0_7_3-,95,336,19,45
0_7_5-,145,336,19,44
0_7_0-,6,337,19,46
0_7_1-,37,337,18,46
0_7_4-,119,337,20,46
0_7_6-,174,337,19,43
0_7_7-,205,337,18,45
1_7_3-,350,357,23,49
1_7_4-,383,357,27,49
1_7_2-,311,358,21,48
1_7_5-,418,358,26,48
1_7_6-,459,358,25,47
2_7_0-,540,359,15,51
1_7_0-,237,360,25,49
1_7_1-,275,360,24,49
1_7_7-,492,360,24,45
4_7_0-,618,362,24,47
3_7_0-,575,363,26,46
7_1_0-,654,366,26,28
8_1_0-,758,368,25,31
7_1_1-,682,370,22,28
7_1_2-,718,372,20,23
15_0_0-,592,415,29,39
15_0_1-,623,415,29,39
15_0_2-,654,415,29,39
16_0_2-,762,425,20,42
11_0_3-,332,426,31,25
13_0_1-,438,426,39,21
16_0_1-,732,426,19,42
11_0_2-,299,427,30,24
12_0_0-,374,427,19,22
13_0_0-,405,427,32,24
16_0_0-,701,427,19,42
10_0_1-,136,429,23,45
11_0_1-,267,429,31,22
11_0_0-,233,430,33,21
10_0_0-,104,432,23,42
10_0_2-,167,432,22,42
13_0_2-,478,432,37,19
10_0_3-,196,433,20,41
9_0_0-,2,438,19,38
9_0_3-,76,438,19,37
9_0_1-,26,439,20,36
9_0_2-,51,441,21,32
